Title,Description,Director,Actors,Entidades
How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson","['hiccup and toothless', 'ice cave', 'dragon rider', 'dean deblois', 'jay baruchel', 'cate blanchett', 'gerard butler', 'craig ferguson']"
RoboCop,"In 2028 Detroit, when Alex Murphy - a loving husband, father and good cop - is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",José Padilha,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish","['2028', 'alex murphy', 'detroit', 'jose padilha', 'joel kinnaman', 'gary oldman', 'michael keaton', 'abbie cornish']"
In Dubious Battle,An activist gets caught up in the labor movement for farm workers in California during the 1930s.,James Franco,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez","['1930s', 'california', 'an activist', 'james franco', 'nat wolff', 'james franco', ""vincent d'onofrio"", 'selena gomez']"
"Hello, My Name Is Doris",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,Michael Showalter,"Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey","['sixty-something woman', 'michael showalter', 'sally field', 'max greenfield', 'tyne daly', 'wendi mclendon-covey']"
Ocean's Thirteen,"Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon,Michael Mantell","['willy bank', 'reuben tishkoff', 'danny ocean', 'steven soderbergh', 'george clooney', 'brad pitt', 'matt damon,michael mantell']"
Slither,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",James Gunn,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson","['residents', 'a small town', 'james gunn', 'nathan fillion', 'elizabeth banks', 'michael rooker', 'don thompson']"
Contagion,"Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.",Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow","['healthcare professionals', 'everyday people', 'government officials', 'steven soderbergh', 'matt damon', 'kate winslet', 'jude law', 'gwyneth paltrow']"
Il racconto dei racconti - Tale of Tales,"From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile.",Matteo Garrone,"Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly","['fairytales', 'giambattista basile', 'giant flea', 'king', 'matteo garrone', 'salma hayek', 'vincent cassel', 'toby jones', 'john c. reilly']"
I Am the Pretty Thing That Lives in the House,A young nurse takes care of elderly author who lives in a haunted house.,Oz Perkins,"Ruth Wilson, Paula Prentiss, Lucy Boynton, Bob Balaban","['a young nurse', 'haunted house', 'elderly author', 'oz perkins', 'ruth wilson', 'paula prentiss', 'lucy boynton', 'bob balaban']"
Bridge to Terabithia,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,Gabor Csupo,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick","['a preteen', 'fantasy world', 'gabor csupo', 'josh hutcherson', 'annasophia robb', 'zooey deschanel', 'robert patrick']"
Coherence,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,James Ward Byrkit,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen","['james ward byrkit', 'emily baldoni', 'maury sterling', 'nicholas brendon', 'elizabeth gracen']"
Notorious,"The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.",George Tillman Jr.,"Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione","['rap music', 'brooklyn', 'christopher wallace', 'notorious b.i.g.', 'george tillman jr.', 'jamal woolard', 'anthony mackie', 'derek luke,momo dione']"
Goksung,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,Hong-jin Na,"Jun Kunimura, Jung-min Hwang, Do-won Kwak, Woo-hee Chun","['a stranger', 'daughter', 'a policeman', 'little village', 'hong-jin na', 'jun kunimura', 'jung-min hwang', 'do-won kwak', 'woo-hee chun']"
The Expendables 2,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",Simon West,"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme","['mr. church', 'the expendables', 'enemy territory', 'simon west', 'sylvester stallone', 'liam hemsworth', 'randy couture,jean-claude van damme']"
The Girl Next Door,"Based on the Jack Ketchum novel of the same name, The Girl Next Door follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt...and the boys who witness and fail to report the crime.",Gregory Wilson,"William Atherton, Blythe Auffarth, Blanche Baker,Kevin Chamberlin","['teenage girl', 'the girl next door', 'jack ketchum', 'boys', 'gregory wilson', 'william atherton', 'blythe auffarth', 'blanche baker,kevin chamberlin']"
Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",Tom Tykwer,"Ben Whishaw, Dustin Hoffman, Alan Rickman,Francesc Albiol","['jean-baptiste grenouille', 'world', 'tom tykwer', 'ben whishaw', 'dustin hoffman', 'alan rickman,francesc albiol']"
The Golden Compass,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",Chris Weitz,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker","['parallel universe', 'lyra belacqua', 'far north', 'chris weitz', 'nicole kidman', 'daniel craig', 'dakota blue richards', 'ben walker']"
Centurion,A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.,Neil Marshall,"Michael Fassbender, Dominic West, Olga Kurylenko,Andreas Wisniewski","['guerrilla attack', 'neil marshall', 'michael fassbender', 'dominic west', 'olga kurylenko,andreas wisniewski']"
Scouts Guide to the Zombie Apocalypse,"Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",Christopher Landon,"Tye Sheridan, Logan Miller, Joey Morgan,Sarah Dumont","['zombie outbreak', 'town', 'three scouts', 'christopher landon', 'tye sheridan', 'logan miller', 'joey morgan,sarah dumont']"
17 Again,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,Burr Steers,"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon","['time vortex', 'bridge', ""mike o'donnell"", 'janitor', 'burr steers', 'zac efron', 'matthew perry', 'leslie mann', 'thomas lennon']"
No Escape,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",John Erick Dowdle,"Lake Bell, Pierce Brosnan, Owen Wilson,Chatchawai Kamonsakpitak","['new overseas home', 'american', 'coup', 'foreigners', 'john erick dowdle', 'lake bell', 'pierce brosnan', 'owen wilson,chatchawai kamonsakpitak']"
Superman Returns,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden","['world domination', 'superman', 'bryan singer', 'brandon routh', 'kevin spacey', 'kate bosworth', 'james marsden']"
The Twilight Saga: Breaking Dawn - Part 1,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham","['bella', 'edward', 'forks', 'the quileutes', 'bill condon', 'kristen stewart', 'robert pattinson', 'taylor lautner', 'gil birmingham']"
Precious,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction.",Lee Daniels,"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey","['circa 1987', 'harlem', 'overweight, abused, illiterate teen', 'new york city', 'lee daniels', 'gabourey sidibe', ""mo'nique"", 'paula patton', 'mariah carey']"
The Sea of Trees,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,Gus Van Sant,"Matthew McConaughey, Naomi Watts, Ken Watanabe,Ryoko Seta","['japanese', 'a suicidal american', 'mt. fuji', 'forest', 'gus van sant', 'matthew mcconaughey', 'naomi watts', 'ken watanabe,ryoko seta']"
Good Kids,Four high school students look to redefine themselves after graduation.,Chris McCoy,"Zoey Deutch, Nicholas Braun, Mateo Arias, Israel Broussard","['four high school students', 'chris mccoy', 'zoey deutch', 'nicholas braun', 'mateo arias', 'israel broussard']"
The Master,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.,Paul Thomas Anderson,"Philip Seymour Hoffman, Joaquin Phoenix,Amy Adams, Jesse Plemons","['the cause', 'war', 'paul thomas anderson', 'philip seymour hoffman', 'joaquin phoenix,amy adams', 'jesse plemons']"
Footloose,"City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",Craig Brewer,"Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell","['dancing', 'ren maccormack', 'small town', 'city', 'rock music', 'craig brewer', 'kenny wormald', 'julianne hough', 'dennis quaid,andie macdowell']"
If I Stay,"Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.",R.J. Cutler,"Chloë Grace Moretz, Mireille Enos, Jamie Blackley,Joshua Leonard","['mia hall', 'she', 'r.j. cutler', 'chloe grace moretz', 'mireille enos', 'jamie blackley,joshua leonard']"
The Ticket,A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.,Ido Fluk,"Dan Stevens, Malin Akerman, Oliver Platt, Kerry Bishé","['ido fluk', 'dan stevens', 'malin akerman', 'oliver platt', 'kerry bishe']"
Detour,"A young law student blindly enters into a pact with a man who offers to kill his stepfather, whom he feels is responsible for the accident that sent his mother into a coma.",Christopher Smith,"Tye Sheridan, Emory Cohen, Bel Powley,Stephen Moyer","['a young law student', 'man', 'mother', 'christopher smith', 'tye sheridan', 'emory cohen', 'bel powley,stephen moyer']"
The Love Witch,A modern-day witch uses spells and magic to get men to fall in love with her.,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys","['modern-day', 'witch', 'anna biller', 'samantha robinson', 'jeffrey vincent parise', 'laura waddell', 'gian keys']"
Talladega Nights: The Ballad of Ricky Bobby,"#1 NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole","['french', 'ricky bobby', 'cal naughton, jr.', 'adam mckay', 'will ferrell', 'john c. reilly', 'sacha baron cohen', 'gary cole']"
The Human Centipede (First Sequence),"A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.",Tom Six,"Dieter Laser, Ashley C. Williams, Ashlynn Yennie, Akihiro Kitamura","['a mad scientist', 'tom six', 'dieter laser', 'ashley c. williams', 'ashlynn yennie', 'akihiro kitamura']"
Super,"After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills.",James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon","['everyday guy', 'superhero', 'crimson bolt', 'james gunn', 'rainn wilson', 'ellen page', 'liv tyler', 'kevin bacon']"
The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,Richie Smyth,"Jamie Dornan, Mark Strong, Jason O'Mara, Michael McElhatton","['congo', 'early 1960s', 'pat quinlan', 'richie smyth', 'jamie dornan', 'mark strong', ""jason o'mara"", 'michael mcelhatton']"
